index,business,year_founded,category_code,country_code
130,Skyllbergs bruk,1346,CAT12,SWE
131,Gasthof Sternen,1230,CAT19,CHE
132,Çemberlitaş Hamamı,1584,CAT19,TUR
133,Drohobych salt plant,1250,CAT12,UKR
134,Mount Gay Rum,1703,CAT9,BRB
135,Belize Bank,1902,CAT3,BLZ
136,Hudson's Bay Company,1670,CAT17,CAN
137,Florida Ice and Farm Company,1908,CAT9,CRI
138,Cubana de Aviación,1929,CAT2,CUB
139,The Chronicle (Dominica),1909,CAT13,DMA
140,HSBC El Salvador,1891,CAT3,SLV
141,Corporación Multi Inversiones,1920,CAT11,GTM
142,Rhum Barbancourt,1862,CAT9,HTI
143,National Railroad of Honduras,1870,CAT2,HND
144,Rose Hall,1770,CAT19,JAM
145,La Casa de Moneda de México,1534,CAT12,MEX
146,Flor de Caña,1890,CAT9,NIC
147,National Bank of Panama,1904,CAT3,PAN
148,1st National Bank of St Lucia,1938,CAT3,LCA
149,House of Angostura,1830,CAT9,TTO
150,Shirley Plantation,1638,CAT1,USA
151,Bank of the Province of Buenos Aires,1822,CAT3,ARG
152,Banco Nacional de Bolivia,1871,CAT3,BOL
153,Casa da Moeda do Brasil,1694,CAT12,BRA
154,Famae,1811,CAT8,CHL
155,Casa de Moneda de Colombia,1621,CAT12,COL
156,Banks DIH,1840,CAT11,GUY
157,Casa Nacional de Moneda,1565,CAT3,PER
158,Cafe Brasilero,1877,CAT4,URY
159,Hacienda Chuao,1660,CAT11,VEN
160,Australia Post,1809,CAT16,AUS
161,Bank of New Zealand,1861,CAT3,NZL
162,European Trust Company,1991,CAT3,VUT
